id,cinema_id,date,time,source,created_at,updated_at,movie_id
15360,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"10:00:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15361,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"11:10:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15362,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"12:10:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15363,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"13:20:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15364,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"14:20:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15365,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"15:30:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15366,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"16:30:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15367,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"17:40:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15368,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"18:40:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
15369,2,Wed May 14 2025 00:00:00 GMT+0800 (Taipei Standard Time),"19:50:00","atmovies",Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),Wed May 14 2025 19:40:01 GMT+0800 (Taipei Standard Time),144
